epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,3576.56,1.13803,2.15145,1.00528,1.16872,0.61788,0.47339,0.52932,0.36158,0.64377,0.46908,0.5211,0.27924,1.43233,2.69293,1.47837,1.39006,0.000679204,0.000679204,0.000679204
55,3639.4,1.13073,2.139,1.00578,1.16457,0.69951,0.48615,0.55269,0.37811,0.69615,0.46825,0.54208,0.29924,1.42261,2.62656,1.41726,1.37108,0.000665057,0.000665057,0.000665057
56,3705.87,1.12693,2.10413,0.9724,1.15004,0.74572,0.49584,0.55928,0.36835,0.72497,0.48569,0.53884,0.28566,1.40824,2.61614,1.43249,1.36425,0.000650909,0.000650909,0.000650909
57,3771.97,1.09966,2.09856,0.96234,1.13994,0.72236,0.51437,0.56576,0.38161,0.71772,0.50836,0.55359,0.30836,1.38652,2.60766,1.42133,1.35084,0.000636762,0.000636762,0.000636762
58,3835.98,1.10917,2.09632,0.96161,1.15283,0.7112,0.52157,0.57657,0.39532,0.71807,0.50238,0.55411,0.30611,1.40674,2.62843,1.40602,1.36135,0.000622615,0.000622615,0.000622615
59,3903.88,1.09165,2.07573,0.9488,1.13986,0.74723,0.51184,0.58928,0.39715,0.75818,0.49374,0.56766,0.31618,1.37711,2.63398,1.39357,1.3363,0.000608468,0.000608468,0.000608468
60,3970.33,1.09814,2.08396,0.94877,1.14094,0.75233,0.54151,0.59654,0.41083,0.74163,0.52929,0.58785,0.32158,1.37646,2.60362,1.3582,1.34437,0.000594321,0.000594321,0.000594321
61,4034.98,1.08178,2.0674,0.92835,1.13313,0.80335,0.50891,0.57421,0.39064,0.78648,0.51321,0.56325,0.30651,1.39396,2.60689,1.39749,1.34577,0.000580174,0.000580174,0.000580174
62,4101.89,1.10165,2.0811,0.94833,1.14732,0.68665,0.53795,0.59249,0.41273,0.72041,0.50877,0.57924,0.32474,1.36664,2.61059,1.36278,1.34289,0.000566027,0.000566027,0.000566027
63,4165.83,1.09117,2.07686,0.93257,1.1375,0.73056,0.51081,0.58574,0.41194,0.76638,0.49956,0.57134,0.32012,1.34957,2.56719,1.35115,1.32675,0.00055188,0.00055188,0.00055188
64,4230.71,1.07342,2.031,0.91685,1.12825,0.77015,0.52979,0.58772,0.40987,0.75967,0.52605,0.57807,0.32839,1.33959,2.54505,1.35723,1.32047,0.000537733,0.000537733,0.000537733
65,4296.56,1.06353,2.01095,0.89958,1.1165,0.79318,0.50831,0.59058,0.4198,0.79246,0.5006,0.57534,0.32619,1.35412,2.56245,1.36669,1.32482,0.000523586,0.000523586,0.000523586
66,4359.95,1.07259,2.05165,0.9066,1.12113,0.83039,0.51576,0.58996,0.41675,0.82695,0.50994,0.57982,0.32729,1.34307,2.57993,1.32872,1.3101,0.000509438,0.000509438,0.000509438
67,4425.97,1.06316,2.02927,0.89871,1.11797,0.78543,0.5215,0.57934,0.41367,0.77405,0.51378,0.56368,0.32364,1.33647,2.5669,1.37349,1.31357,0.000495291,0.000495291,0.000495291
68,4491.79,1.04188,1.97182,0.86642,1.10855,0.79764,0.51847,0.59622,0.4183,0.79871,0.4986,0.57818,0.32973,1.33605,2.56023,1.32065,1.31668,0.000481144,0.000481144,0.000481144
69,4557.32,1.04222,1.9851,0.8725,1.11261,0.83278,0.50962,0.60707,0.43395,0.8234,0.50398,0.58736,0.3389,1.33823,2.54372,1.3374,1.3141,0.000466997,0.000466997,0.000466997
70,4624.6,1.03785,1.99919,0.86838,1.10815,0.78745,0.53838,0.59473,0.42403,0.77998,0.53163,0.58018,0.32609,1.33173,2.51366,1.31248,1.30465,0.00045285,0.00045285,0.00045285
71,4689.87,1.03429,1.97094,0.85658,1.10163,0.82057,0.4975,0.59725,0.42475,0.81133,0.49159,0.58145,0.3338,1.31913,2.5296,1.33052,1.31195,0.000438703,0.000438703,0.000438703
72,4756.1,1.03584,1.97534,0.85914,1.10196,0.7377,0.55597,0.60656,0.42892,0.7465,0.54335,0.58824,0.33493,1.32037,2.52224,1.3227,1.30983,0.000424556,0.000424556,0.000424556
73,4824.02,1.04376,1.9742,0.86494,1.1096,0.81062,0.49761,0.59709,0.42663,0.81,0.49626,0.59207,0.35288,1.30972,2.50349,1.3023,1.30515,0.000410409,0.000410409,0.000410409
74,4888.15,1.03709,1.94774,0.84649,1.10938,0.86244,0.52637,0.60139,0.43288,0.85876,0.52565,0.58653,0.34493,1.29557,2.49097,1.30345,1.30151,0.000396262,0.000396262,0.000396262
75,4955.9,1.02608,1.94834,0.84041,1.09436,0.7893,0.54447,0.60448,0.43436,0.7782,0.5351,0.58445,0.34532,1.30043,2.53308,1.29796,1.29381,0.000382115,0.000382115,0.000382115
76,5021.98,1.01607,1.95467,0.8429,1.10061,0.80599,0.53366,0.61143,0.43819,0.79503,0.52872,0.5946,0.34968,1.29618,2.49891,1.28728,1.29959,0.000367967,0.000367967,0.000367967
77,5086.3,1.00812,1.93593,0.82045,1.08535,0.77648,0.55522,0.61149,0.43827,0.79249,0.53821,0.59752,0.3528,1.27113,2.49801,1.26496,1.28661,0.00035382,0.00035382,0.00035382
78,5153.6,0.99761,1.9139,0.80904,1.08088,0.78847,0.55913,0.61245,0.44472,0.78972,0.55098,0.59721,0.35367,1.28177,2.51335,1.28942,1.28849,0.000339673,0.000339673,0.000339673
79,5219.16,1.00541,1.92985,0.82458,1.09532,0.86009,0.53717,0.61439,0.445,0.84986,0.53166,0.59522,0.35648,1.27217,2.49933,1.25841,1.28519,0.000325526,0.000325526,0.000325526
80,5284.55,0.99778,1.89889,0.80303,1.07772,0.81158,0.5553,0.61902,0.44261,0.806,0.54862,0.60754,0.35851,1.2758,2.50442,1.27824,1.27442,0.000311379,0.000311379,0.000311379
81,5352.49,0.99084,1.90917,0.80316,1.0806,0.84764,0.53525,0.61228,0.44068,0.8647,0.5145,0.59504,0.35244,1.26918,2.51238,1.2701,1.2792,0.000297232,0.000297232,0.000297232
82,5416.94,0.9925,1.89789,0.8033,1.08088,0.83236,0.53826,0.6166,0.45506,0.87028,0.50846,0.60213,0.36528,1.26024,2.47657,1.26162,1.27604,0.000283085,0.000283085,0.000283085
83,5483.65,0.99413,1.8929,0.79297,1.07881,0.87732,0.53887,0.62508,0.4543,0.87666,0.5288,0.60052,0.36145,1.26085,2.47509,1.25419,1.27012,0.000268938,0.000268938,0.000268938
84,5549.82,0.9916,1.88482,0.78976,1.07836,0.83445,0.5534,0.61603,0.45651,0.83432,0.54546,0.60156,0.36345,1.25643,2.47292,1.26069,1.27319,0.000254791,0.000254791,0.000254791
85,5613.35,0.97114,1.87641,0.7805,1.06826,0.83275,0.5376,0.62805,0.46417,0.8355,0.53437,0.6153,0.36968,1.24773,2.47593,1.24377,1.26539,0.000240644,0.000240644,0.000240644
86,5683.32,0.97598,1.86034,0.78373,1.07187,0.82024,0.55874,0.62527,0.46446,0.81903,0.54297,0.61008,0.36729,1.23952,2.47297,1.25319,1.25968,0.000226497,0.000226497,0.000226497
87,5750.26,0.97386,1.85946,0.78141,1.06684,0.89733,0.5232,0.63064,0.46448,0.89798,0.51585,0.61678,0.37131,1.22991,2.46108,1.22912,1.24958,0.000212349,0.000212349,0.000212349
88,5815.33,0.96037,1.85768,0.77512,1.06642,0.83586,0.56058,0.62937,0.4621,0.85383,0.54268,0.61718,0.36927,1.24021,2.47448,1.21808,1.26034,0.000198202,0.000198202,0.000198202
89,5882.87,0.95462,1.8395,0.76372,1.06391,0.86253,0.5408,0.62243,0.45916,0.85525,0.53484,0.6101,0.37083,1.23467,2.45673,1.23598,1.25983,0.000184055,0.000184055,0.000184055
90,5948.34,0.97,1.8583,0.77163,1.07194,0.88545,0.5173,0.62758,0.4626,0.89143,0.5135,0.61926,0.37312,1.24022,2.46853,1.2411,1.26273,0.000169908,0.000169908,0.000169908
91,6005.72,0.93555,1.74296,0.70613,1.0641,0.86784,0.53434,0.62068,0.45332,0.86462,0.52745,0.60687,0.35856,1.24007,2.49154,1.21847,1.26018,0.000155761,0.000155761,0.000155761
92,6058.37,0.91051,1.70694,0.67579,1.04952,0.83665,0.54619,0.62074,0.46156,0.82379,0.53421,0.60867,0.36604,1.22019,2.47379,1.20813,1.24445,0.000141614,0.000141614,0.000141614
93,6111.22,0.89773,1.69011,0.65791,1.04935,0.89236,0.54144,0.6257,0.46582,0.88379,0.53243,0.61222,0.37101,1.21191,2.44789,1.20262,1.2403,0.000127467,0.000127467,0.000127467
94,6166.12,0.89197,1.67211,0.64767,1.03582,0.84892,0.56218,0.63186,0.47212,0.83976,0.55281,0.61753,0.37483,1.20932,2.4467,1.18425,1.23844,0.00011332,0.00011332,0.00011332
95,6219.89,0.88434,1.65748,0.63253,1.03459,0.83038,0.5566,0.62222,0.45979,0.82161,0.53894,0.607,0.36745,1.21499,2.47583,1.20518,1.23969,9.91726e-05,9.91726e-05,9.91726e-05
96,6275.17,0.88221,1.6517,0.63859,1.03468,0.88679,0.54701,0.62445,0.46651,0.87449,0.52736,0.60796,0.37391,1.20659,2.45622,1.19638,1.2375,8.50255e-05,8.50255e-05,8.50255e-05
97,6330.41,0.86324,1.62543,0.62275,1.02448,0.86122,0.55672,0.62515,0.47394,0.86894,0.52959,0.61138,0.37438,1.20526,2.45902,1.18574,1.23706,7.08784e-05,7.08784e-05,7.08784e-05
98,6385.41,0.86348,1.64303,0.61839,1.02473,0.87378,0.56211,0.6255,0.46945,0.85145,0.53928,0.60851,0.37356,1.20056,2.46085,1.18226,1.23439,5.67313e-05,5.67313e-05,5.67313e-05
99,6439.88,0.86158,1.64285,0.62156,1.02384,0.84408,0.55968,0.62774,0.4748,0.82798,0.55133,0.61471,0.37508,1.19485,2.44611,1.17699,1.23538,4.25842e-05,4.25842e-05,4.25842e-05
100,6495.37,0.85668,1.63512,0.61293,1.0205,0.87562,0.5628,0.62921,0.47556,0.86058,0.55285,0.61505,0.37524,1.1975,2.45333,1.17567,1.23108,2.84371e-05,2.84371e-05,2.84371e-05
